country,cluster,Cluster_Name,Cluster_Short,Cluster_Color,Priority,Budget_%,Budget_Amount_USD,Budget_Amount_M_USD,Cluster_Country_Count,Cluster_Country_Share_%,child_mort,income,life_expec,total_fer
Albania,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,16.6,9930,76.3,1.65
Armenia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,18.1,6700,73.3,1.69
Belize,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,18.8,7880,71.4,2.71
Bhutan,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,42.7,6420,72.1,2.38
Bolivia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,46.6,5410,71.6,3.2
Botswana,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,52.5,13300,57.1,2.88
Cambodia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,44.4,2520,66.1,2.88
Cape Verde,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,26.5,5830,72.5,2.67
"Congo, Rep.",0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,63.9,5190,60.4,4.95
Dominican Republic,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,34.4,11100,74.6,2.6
Ecuador,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,25.1,9350,76.7,2.66
El Salvador,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,19.2,7300,74.1,2.27
Equatorial Guinea,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,111.0,33700,60.9,5.21
Fiji,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,24.1,7350,65.3,2.67
Georgia,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,16.5,6730,72.8,1.92
Grenada,0,Intermediate Development Profile,Intermediate Development,#E74C3C,High,25.0,250000000.0,250.0,41,24.550898203592812,14.6,11200,71.3,2.24
